,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,neighborhood,year_remod/add,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,foundation,bsmt_cond,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,totrms_abvgrd,functional,garage_type,garage_cond,paved_drive,wood_deck_sf,sale_type,saleprice,exter_qual_cond,overall_qual_cond,bsmt,heatingmod,kitchen_and_qual,fireplaces_and_qual,garage,porch_total,age
0,60,RL,0.0,13517,Pave,None,Sawyer,2005,HdBoard,Plywood,BrkFace,289.0,CBlock,TA,725,754,0,1479,0.0,0.0,2,6,8,Attchd,TA,Y,0,WD ,130500,12,48,5949.0,1.512490683845176,4,0,5700.0,44,34
1,60,RL,43.0,11492,Pave,None,SawyerW,1997,VinylSd,VinylSd,BrkFace,132.0,PConc,TA,913,1209,0,2122,1.0,0.0,2,8,8,Attchd,TA,Y,0,WD ,220000,12,35,8578.0,1.512490683845176,4,3,6708.0,74,13
2,20,RL,68.0,7922,Pave,None,NAmes,2007,VinylSd,VinylSd,None,0.0,CBlock,TA,1057,0,0,1057,1.0,0.0,1,5,8,Detchd,TA,Y,0,WD ,109000,12,35,8535.0,0.9074944103071056,4,0,738.0,52,57
3,60,RL,73.0,9802,Pave,None,Timber,2007,VinylSd,VinylSd,None,0.0,PConc,TA,744,700,0,1444,0.0,0.0,2,7,8,BuiltIn,TA,Y,100,WD ,174000,9,25,3072.0,1.2099925470761408,3,0,7200.0,0,4
4,50,RL,82.0,14235,Pave,None,SawyerW,1993,Wd Sdng,Plywood,None,0.0,PConc,Gd,831,614,0,1445,0.0,0.0,2,6,8,Detchd,TA,N,0,WD ,138500,9,48,2704.0,0.9074944103071056,3,0,2904.0,59,110
5,20,RL,137.0,16492,Pave,None,NAmes,2002,BrkFace,Plywood,None,0.0,CBlock,TA,1888,0,0,1888,0.0,0.0,2,6,5,Attchd,TA,Y,0,WD ,190000,12,36,9596.0,1.512490683845176,4,4,10404.0,0,44
6,180,RM,35.0,3675,Pave,None,Edwards,2006,VinylSd,VinylSd,BrkFace,82.0,PConc,TA,1072,0,0,1072,1.0,0.0,2,5,8,Basment,TA,Y,0,New,140000,9,30,12034.0,1.2099925470761408,3,0,9450.0,44,1
7,20,RL,0.0,12160,Pave,None,NAmes,1959,Plywood,Plywood,BrkFace,180.0,CBlock,TA,1188,0,0,1188,1.0,0.0,1,6,8,Attchd,TA,Y,0,COD,142000,9,25,7128.0,0.6049962735380704,3,0,6372.0,0,51
8,20,RL,0.0,15783,Pave,None,OldTown,1952,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,924,0,0,924,0.0,0.0,1,6,8,Detchd,TA,Y,0,WD ,112500,9,25,5544.0,0.9074944103071056,3,0,1260.0,324,55
9,60,RL,70.0,11606,Pave,None,NAmes,1969,Plywood,Plywood,BrkFace,192.0,PConc,TA,1040,1040,0,2080,0.0,1.0,1,9,8,Attchd,TA,Y,335,WD ,135000,9,25,19110.0,0.9074944103071056,2,6,3024.0,0,38
10,160,RM,21.0,1680,Pave,None,BrDale,1971,HdBoard,HdBoard,BrkFace,232.0,CBlock,TA,483,504,0,987,0.0,0.0,1,4,8,Detchd,TA,Y,0,COD,85400,9,30,3672.0,0.9074944103071056,3,0,792.0,0,37
11,20,RL,64.0,7488,Pave,None,CollgCr,2005,VinylSd,VinylSd,None,0.0,PConc,TA,1208,0,0,1208,0.0,0.0,2,6,8,Attchd,TA,Y,105,WD ,183600,12,35,26634.0,1.512490683845176,4,0,7584.0,58,1
12,70,RL,120.0,26400,Pave,None,SawyerW,2007,HdBoard,HdBoard,None,0.0,PConc,None,1288,728,0,2016,0.0,0.0,1,7,5,Attchd,TA,P,0,WD ,131000,12,35,0.0,1.512490683845176,3,3,3456.0,0,129
13,160,FV,24.0,2645,Pave,Pave,Somerst,2000,MetalSd,MetalSd,BrkFace,456.0,PConc,TA,962,645,0,1607,1.0,0.0,2,7,8,Detchd,TA,Y,169,ConLD,200000,12,40,9306.0,1.512490683845176,4,0,2880.0,0,9
14,20,RL,74.0,9627,Pave,None,CollgCr,2007,VinylSd,VinylSd,None,0.0,PConc,TA,1361,0,0,1361,0.0,0.0,2,6,8,Attchd,TA,Y,0,WD ,193000,12,35,32280.0,1.512490683845176,4,0,7320.0,50,1
15,20,RL,93.0,10114,Pave,None,Mitchel,2005,VinylSd,VinylSd,None,0.0,PConc,TA,1430,0,0,1430,0.0,0.0,2,7,8,Attchd,TA,Y,0,WD ,173500,9,25,42900.0,1.512490683845176,4,0,7488.0,0,6
16,70,RM,34.0,4571,Pave,Grvl,OldTown,1950,AsbShng,AsbShng,None,0.0,BrkTil,TA,624,720,0,1344,0.0,0.0,1,7,8,Detchd,Fa,Y,0,COD,98000,9,25,3744.0,0.6049962735380704,3,0,3078.0,0,92
17,20,RL,80.0,8816,Pave,None,Sawyer,1963,VinylSd,VinylSd,None,0.0,PConc,TA,1121,0,0,1121,1.0,0.0,1,5,8,Detchd,TA,Y,0,WD ,139000,9,30,6726.0,0.9074944103071056,3,0,2880.0,80,46
18,20,RL,71.0,8197,Pave,None,Sawyer,1977,Plywood,Plywood,BrkFace,148.0,CBlock,TA,1285,0,0,1285,0.0,0.0,1,7,8,Attchd,TA,Y,138,WD ,143500,9,30,3960.0,1.512490683845176,3,3,6336.0,0,30
19,60,FV,72.0,8640,Pave,None,Somerst,2009,VinylSd,VinylSd,None,0.0,PConc,TA,764,783,0,1547,0.0,0.0,2,7,8,Attchd,TA,Y,169,Con,215200,9,35,12048.0,1.512490683845176,4,0,3684.0,45,1
20,20,RL,109.0,8724,Pave,None,Sawyer,1968,VinylSd,VinylSd,None,0.0,CBlock,TA,894,0,0,894,0.0,0.0,1,5,8,Attchd,TA,Y,0,WD ,129000,9,25,7152.0,1.2099925470761408,3,1,8100.0,0,39
21,120,RL,40.0,5664,Pave,None,StoneBr,2000,CemntBd,CmentBd,None,0.0,PConc,TA,1659,0,0,1659,1.0,0.0,2,5,8,Attchd,TA,Y,212,WD ,278000,12,40,14324.0,1.512490683845176,5,5,8982.0,59,9
23,20,RL,0.0,7980,Pave,None,Gilbert,2007,HdBoard,HdBoard,None,0.0,PConc,TA,1187,0,0,1187,1.0,0.0,2,6,8,Attchd,TA,Y,483,WD ,185000,12,42,10279.0,1.512490683845176,3,0,7560.0,21,18
